,Date,Crimes
0,2012-01-01,898.8294203022282
1,2012-01-02,894.0355912234269
2,2012-01-03,889.3783206867652
3,2012-01-04,884.8576086922432
4,2012-01-05,880.4734552398608
5,2012-01-06,876.225860329618
6,2012-01-07,872.1148239615148
7,2012-01-08,868.1403461355515
8,2012-01-09,864.3024268517275
9,2012-01-10,860.6010661100433
10,2012-01-11,857.0362639104989
11,2012-01-12,853.608020253094
12,2012-01-13,850.3163351378287
13,2012-01-14,847.1612085647031
14,2012-01-15,844.1426405337171
15,2012-01-16,841.2606310448707
16,2012-01-17,838.515180098164
17,2012-01-18,835.9062876935969
18,2012-01-19,833.4339538311696
19,2012-01-20,831.0981785108818
20,2012-01-21,828.8989617327336
21,2012-01-22,826.8363034967251
22,2012-01-23,824.9102038028564
23,2012-01-24,823.1206626511271
24,2012-01-25,821.4676800415375
25,2012-01-26,819.9512559740715
26,2012-01-27,835.9158757842595
27,2012-01-28,830.0587555776863
28,2012-01-29,829.3768148768775
29,2012-01-30,829.1619515730655
30,2012-01-31,830.6814423882595
31,2012-02-01,835.4140071122623
32,2012-02-02,835.9433056241197
33,2012-02-03,832.703639946528
34,2012-02-04,832.846247933119
35,2012-02-05,829.9889012208492
36,2012-02-06,832.3380824027558
37,2012-02-07,833.552424743466
38,2012-02-08,834.795601259355
39,2012-02-09,835.9262270945949
40,2012-02-10,831.5406011461023
41,2012-02-11,828.8580941810521
42,2012-02-12,828.1510792996279
43,2012-02-13,825.3702235611061
44,2012-02-14,823.4206210786036
45,2012-02-15,821.480826292765
46,2012-02-16,816.6013273233659
47,2012-02-17,809.857935627065
48,2012-02-18,807.3426351672585
49,2012-02-19,805.5485288454844
50,2012-02-20,808.0011778296064
51,2012-02-21,807.4001449636297
52,2012-02-22,812.6747378196399
53,2012-02-23,813.129651860728
54,2012-02-24,813.842986251088
55,2012-02-25,814.4841559265054
56,2012-02-26,822.0506013726082
57,2012-02-27,833.1392557022642
58,2012-02-28,842.6362318512142
59,2012-02-29,853.5644748465255
60,2012-03-01,864.6755532401468
61,2012-03-02,871.0214274388828
62,2012-03-03,876.2612969716015
63,2012-03-04,883.1132075471522
64,2012-03-05,888.9360800923965
65,2012-03-06,896.9162608439424
66,2012-03-07,899.8838478787563
67,2012-03-08,905.1634918118011
68,2012-03-09,907.8791365602665
69,2012-03-10,910.4252191442433
70,2012-03-11,913.0121180547509
71,2012-03-12,919.2174681193048
72,2012-03-13,921.8600874311807
73,2012-03-14,932.6508867697837
74,2012-03-15,933.7866769349062
75,2012-03-16,937.0120274524719
76,2012-03-17,935.0472264377264
77,2012-03-18,936.3784230673215
78,2012-03-19,938.6729937257735
79,2012-03-20,938.4676436612195
80,2012-03-21,936.0515753471014
81,2012-03-22,934.7555097510517
82,2012-03-23,930.0708736324534
83,2012-03-24,929.5998097351963
84,2012-03-25,928.6285986092365
85,2012-03-26,928.3696572968627
86,2012-03-27,933.9828988198869
87,2012-03-28,936.6011234682367
88,2012-03-29,932.1606151894537
89,2012-03-30,927.4106774785199
90,2012-03-31,920.3234501347525
91,2012-04-01,918.8762599379193
92,2012-04-02,916.9387981607556
93,2012-04-03,916.6855194907969
94,2012-04-04,919.3730095811728
95,2012-04-05,917.6577045912524
96,2012-04-06,907.8270629006139
97,2012-04-07,902.9538607895807
98,2012-04-08,899.3627262225465
99,2012-04-09,894.9416974336726
100,2012-04-10,895.4144827742239
101,2012-04-11,897.9296926317519
102,2012-04-12,900.3427031189656
103,2012-04-13,897.6645224127209
104,2012-04-14,898.6845228657322
105,2012-04-15,902.2953407778026
106,2012-04-16,906.8410383020953
107,2012-04-17,911.287934041523
108,2012-04-18,919.0743391696119
109,2012-04-19,919.3972456907107
110,2012-04-20,918.5679403836824
111,2012-04-21,918.7953974042263
112,2012-04-22,919.6726313166594
113,2012-04-23,921.1168995900064
114,2012-04-24,925.1967654986339
115,2012-04-25,928.5142811841533
116,2012-04-26,931.9120478379846
117,2012-04-27,936.7613762485942
118,2012-04-28,933.5443611406641
119,2012-04-29,933.6433894312256
120,2012-04-30,931.786495730349
121,2012-05-01,935.2988969172391
122,2012-05-02,938.5507033001693
123,2012-05-03,941.1768329973313
124,2012-05-04,937.7122018618581
125,2012-05-05,940.436657681922
126,2012-05-06,945.0014496364395
127,2012-05-07,940.5272599605693
128,2012-05-08,944.5472604135806
129,2012-05-09,947.5625495481024
130,2012-05-10,951.1724614373862
131,2012-05-11,956.7154408933195
132,2012-05-12,958.9697388389128
133,2012-05-13,963.1158576638011
134,2012-05-14,961.5853360211818
135,2012-05-15,964.8699404289828
136,2012-05-16,968.3246053138043
137,2012-05-17,968.8391130036728
138,2012-05-18,967.1300595709789
139,2012-05-19,969.0945208271794
140,2012-05-20,972.7069922308351
141,2012-05-21,974.9416068313924
142,2012-05-22,977.2944574055844
143,2012-05-23,983.9505764569783
144,2012-05-24,984.3195768873392
145,2012-05-25,983.7652947971447
146,2012-05-26,981.859974178331
147,2012-05-27,986.8262474801045
148,2012-05-28,989.0312577861135
149,2012-05-29,991.1430383473946
150,2012-05-30,996.787152596868
151,2012-05-31,1003.3789893315618
152,2012-06-01,1006.2135948718909
153,2012-06-02,1009.672133004125
154,2012-06-03,1017.6687807198149
155,2012-06-04,1021.1288590907859
156,2012-06-05,1023.5355047679244
157,2012-06-06,1023.5198079231487
158,2012-06-07,1025.615710435097
159,2012-06-08,1023.7649776891685
160,2012-06-09,1027.3045595596525
161,2012-06-10,1032.942694058735
162,2012-06-11,1035.2431991664382
163,2012-06-12,1036.4841785770707
